Name                                                                                                                                                                              Stmts   Miss  Cover
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\evadventure\chargen.py                                                                                                120     48    60%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\evadventure\combat_turnbased.py                                                                                       452    101    78%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\evadventure\commands.py                                                                                               174     59    66%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\evadventure\dungeon.py                                                                                                144     29    80%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\evadventure\enums.py                                                                                                   31      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\evadventure\equipment.py                                                                                              144     15    90%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\evadventure\npcs.py                                                                                                   114     49    57%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\evadventure\objects.py                                                                                                 80      7    91%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\evadventure\quests.py                                                                                                  95     12    87%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\evadventure\random_tables.py                                                                                            4      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\evadventure\rooms.py                                                                                                   35      4    89%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\evadventure\rules.py                                                                                                   94      3    97%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\evadventure\tests\__init__.py                                                                                           0      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\evadventure\tests\mixins.py                                                                                            16      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\evadventure\tests\test_characters.py                                                                                   29      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\evadventure\tests\test_chargen.py                                                                                      29      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\evadventure\tests\test_combat.py                                                                                      177      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\evadventure\tests\test_commands.py                                                                                     58      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\evadventure\tests\test_dungeon.py                                                                                      43      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\evadventure\tests\test_equipment.py                                                                                    98      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\evadventure\tests\test_quests.py                                                                                       67      1    99%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\evadventure\tests\test_rules.py                                                                                       111      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\evadventure\tests\test_utils.py                                                                                         9      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\evadventure\utils.py                                                                                                   10      3    70%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\mirror\__init__.py                                                                                                      1      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\mirror\mirror.py                                                                                                       17     12    29%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\red_button\__init__.py                                                                                                  1      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\red_button\red_button.py                                                                                              163     76    53%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\talking_npc\__init__.py                                                                                                 1      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\talking_npc\talking_npc.py                                                                                             37     12    68%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\talking_npc\tests.py                                                                                                    8      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\tutorial_world\__init__.py                                                                                              2      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\tutorial_world\intro_menu.py                                                                                          126     89    29%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\tutorial_world\mob.py                                                                                                 172     87    49%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\tutorial_world\objects.py                                                                                             380    109    71%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\tutorial_world\rooms.py                                                                                               364    117    68%
C:\Users\danie\source\repos\evennia\evennia\contrib\tutorials\tutorial_world\tests.py                                                                                                99      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\utils\__init__.py                                                                                                                 0      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\utils\auditing\__init__.py                                                                                                        0      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\utils\auditing\outputs.py                                                                                                         9      7    22%
C:\Users\danie\source\repos\evennia\evennia\contrib\utils\auditing\server.py                                                                                                        103     22    79%
C:\Users\danie\source\repos\evennia\evennia\contrib\utils\auditing\tests.py                                                                                                          42      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\utils\fieldfill\__init__.py                                                                                                       5      0   100%
C:\Users\danie\source\repos\evennia\evennia\contrib\utils\fieldfill\fieldfill.py                                                                                                    237    214    10%
